"MTurkCode","total_fac","total_con","goal","out_fac_m","out_fac_sd","out_con_m","out_con_sd","in_fac_m","in_fac_sd","in_con_m","in_con_sd","out_net","in_net","conflict","connectedness","instrumentality"
"AJ9O2ZA0E8UDZ","1.50","1.00","2.00","1.50","0.71","1.00","0.00","1.50","0.71","1.00","0.00","0.50","0.50","3.67","5.00","5.00"
"AJDHPRCJ985C7","1.65","2.15","3.00","1.65","0.70","2.15","1.38","1.65","1.13","2.15","1.31","-0.50","-0.50","3.00","3.20","3.60"
"AJMWITY1XT7H7","4.83","2.08","2.50","4.83","2.45","2.08","1.51","4.83","2.26","2.08","1.67","2.75","2.75","2.50","5.75","4.00"
"AJQ71YIGY01HZ","1.00","1.00","1.50","1.00","NA","1.00","NA","1.00","NA","1.00","NA","0.00","0.00","1.00","2.00","6.50"
"AKMOBFEEKW378","1.60","2.20","3.00","1.60","1.20","2.20","2.40","1.60","1.20","2.20","2.40","-0.60","-0.60","3.40","4.20","5.40"
"AKX5RHHO8BIUX","1.40","1.40","3.00","1.40","0.69","1.40","0.55","1.40","0.63","1.40","0.69","0.00","0.00","3.00","4.20","4.40"
"AL7UTA8J27TFK","4.75","1.00","2.50","4.75","1.38","1.00","0.00","4.75","1.59","1.00","0.00","3.75","3.75","1.25","5.50","6.00"
"ALAOEYIYW0CW7","3.45","1.35","3.00","3.45","1.97","1.35","0.70","3.45","2.32","1.35","0.70","2.10","2.10","4.00","6.00","6.40"
"ALDQRWYZ8KQ9A","1.50","4.83","2.00","1.50","0.24","4.83","1.65","1.50","0.71","4.83","0.24","-3.33","-3.33","3.67","1.67","2.00"
"AM0QVBV8L6QCJ","1.00","1.00","1.50","1.00","NA","1.00","NA","1.00","NA","1.00","NA","0.00","0.00","1.00","1.00","5.00"
"AMA18W8F60Y2J","NA","NA","1.00","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3.00","4.00","5.00"
"AMTTB8JUWRRM7","1.00","1.00","1.50","1.00","NA","1.00","NA","1.00","NA","1.00","NA","0.00","0.00","1.00","1.00","2.50"
"ANZNAAS2K0DSY","1.50","1.00","2.00","1.50","0.71","1.00","0.00","1.50","0.71","1.00","0.00","0.50","0.50","1.00","2.33","4.00"
"AOS2PVHT2HYTL","1.17","1.00","2.00","1.17","0.24","1.00","0.00","1.17","0.24","1.00","0.00","0.17","0.17","1.00","1.67","2.00"
"APY7YO8CH0ZDP","4.17","2.17","2.00","4.17","2.59","2.17","0.71","4.17","2.59","2.17","1.65","2.00","2.00","1.33","5.67","4.33"
"AQAXDL1INQC9Q","2.17","2.67","2.00","2.17","0.24","2.67","0.94","2.17","1.18","2.67","0.47","-0.50","-0.50","3.67","1.00","3.33"
