"MTurkCode","total_fac","total_con","goal","out_fac_m","out_fac_sd","out_con_m","out_con_sd","in_fac_m","in_fac_sd","in_con_m","in_con_sd","out_net","in_net","listNum","priority","total_goal","goalType","conflict","connectedness","instrumentality"
"A1YPOIURXB6ESR",2.92,2.5,3,2,1.73,3,1.73,2.67,2.89,2.67,2.89,-1,0,4,1,4,"short-term",5,3,7
"A1YPOIURXB6ESR",2.92,2.5,4,2.67,2.89,4,2.65,3,1.73,3,1.73,-1.33,0,4,4,4,"short-term",4,4,5
"A1KC342L9WAQ2",3.17,1.67,1,3,1.41,2,0,4.5,3.54,1.5,0.71,1,3,3,2,3,"short-term",2,3,6
"A1KC342L9WAQ2",3.17,1.67,2,4.5,3.54,2,0,3,1.41,1.5,0.71,2.5,1.5,3,1,3,"short-term",4,5,6
"A1KC342L9WAQ2",3.17,1.67,3,2,0,1,0,2,0,2,0,1,0,3,3,3,"recurrance",2,2,6
"AT6LDQNLKTUSE",4,3.5,1,3,NA,5,NA,5,NA,2,NA,-2,3,2,1,2,"short-term",2,5,6
"AT6LDQNLKTUSE",4,3.5,2,5,NA,2,NA,3,NA,5,NA,3,-2,2,2,2,"long-term",4,3,6
"A1ROEDVMTO9Y3X",4,2.5,1,4,NA,3,NA,4,NA,2,NA,1,2,2,1,2,"short-term",5,5,6
"A1ROEDVMTO9Y3X",4,2.5,2,4,NA,2,NA,4,NA,3,NA,2,1,2,2,2,"short-term",2,3,5
"A22DDO8NILSX6O",3,1.67,1,3,1.73,1.67,0.58,3.67,2.08,1.67,0.58,1.33,2,4,1,4,"recurrance",1,5,5
"A22DDO8NILSX6O",3,1.67,2,2.67,0.58,1,0,2,0,1.67,0.58,1.67,0.33,4,2,4,"recurrance",3,2,5
"A22DDO8NILSX6O",3,1.67,3,2.33,0.58,2,0,2.67,1.15,1.67,1.15,0.33,1,4,3,4,"recurrance",2,3,5
"A22DDO8NILSX6O",3,1.67,4,4,2,2,1,3.67,1.15,1.67,0.58,2,2,4,4,4,"recurrance",2,5,5
"A2H0VR477QHYO7",3.92,3.92,1,3.33,2.31,4.33,2.89,3.33,1.53,3.33,1.53,-1,0,4,1,3,"long-term",5,5,6
"A2H0VR477QHYO7",3.92,3.92,2,5,2,5.33,0.58,3.33,1.53,3.67,2.08,-0.33,-0.33,4,2,3,"long-term",5,6,7
"A2H0VR477QHYO7",3.92,3.92,3,3.33,1.53,3.33,1.53,5.33,0.58,3,2,0,2.33,4,3,3,"long-term",6,7,6
"A2H0VR477QHYO7",3.92,3.92,4,4,1.73,2.67,0.58,3.67,2.89,5.67,0.58,1.33,-2,4,4,3,"long-term",3,5,6
"A1K8VUKRL53OX",5.4,2.4,1,6.5,0.58,1.5,0.58,5.75,0.5,3.25,2.5,5,2.5,5,1,5,"short-term",6,7,6
"A1K8VUKRL53OX",5.4,2.4,2,5.75,0.5,3,1.41,5.5,1.73,2,0.82,2.75,3.5,5,2,5,"short-term",2,6,5
"A1K8VUKRL53OX",5.4,2.4,3,4.25,2.06,3.5,2.38,5.25,2.22,2.5,1.73,0.75,2.75,5,4,5,"recurrance",2,6,6
"A1K8VUKRL53OX",5.4,2.4,4,6,0,2,0,5.5,1,2.25,0.5,4,3.25,5,3,5,"long-term",2,4,7
"A1K8VUKRL53OX",5.4,2.4,5,4.5,1.91,2,0,5,2,2,0,2.5,3,5,5,5,"short-term",2,6,3
"AJMWITY1XT7H7",4.83,2.08,1,4.33,3.06,3,3.46,5.33,2.89,2.33,2.31,1.33,3,4,1,2,"recurrance",4,6,4
"AJMWITY1XT7H7",4.83,2.08,2,4.33,3.06,1.33,0.58,5.33,1.53,1.67,1.15,3,3.67,4,4,2,"recurrance",1,6,4
