"MTurkCode","listNum","goal","endTime","goalType","progress_base","satisfaction_base"
"A1RWNYJA5X25YH",5,"3",NA,"recurrance","5","2"
"A1RWNYJA5X25YH",5,"4","three_month","short-term","1","2"
"A1RWNYJA5X25YH",5,"5",NA,"recurrance","2","1"
"A1SISJL5ST2PWH",3,"1",NA,"recurrance","1","2"
"A1SISJL5ST2PWH",3,"2","three_month","short-term","1","8"
"A1SISJL5ST2PWH",3,"3","three_month","short-term","1","8"
"A1SL72YBUW8Q8K",4,"1",NA,"recurrance","8","3"
"A1SL72YBUW8Q8K",4,"2",NA,"recurrance","6","3"
"A1SL72YBUW8Q8K",4,"3","three_month","short-term","0","6"
"A1SL72YBUW8Q8K",4,"4",NA,"recurrance","0","7"
"A1T83SZBP2DN65",2,"1","three_month","short-term","4","8"
"A1T83SZBP2DN65",2,"2",NA,"long-term","4","5"
"A1TPGXT718D68E",3,"1","three_month","short-term","0","8"
"A1TPGXT718D68E",3,"2","in_weeks","short-term","2","1"
"A1TPGXT718D68E",3,"3","next_month","short-term","1","1"
"A1U8LTCX5XYJ45",3,"1",NA,"long-term","1","7"
"A1U8LTCX5XYJ45",3,"2",NA,"long-term","2","7"
"A1U8LTCX5XYJ45",3,"3",NA,"long-term","1","8"
"A1VFRCYMWGWWCZ",5,"1",NA,"recurrance","2","2"
"A1VFRCYMWGWWCZ",5,"2",NA,"long-term","2","8"
"A1VFRCYMWGWWCZ",5,"3",NA,"recurrance","4","8"
"A1VFRCYMWGWWCZ",5,"4",NA,"recurrance","3","5"
"A1VFRCYMWGWWCZ",5,"5",NA,"long-term","0","2"
"A1VRG5HKZC0H0C",5,"1","in_weeks","short-term","3","7"
"A1VRG5HKZC0H0C",5,"2","three_month","short-term","0","2"
"A1VRG5HKZC0H0C",5,"3","two_month","short-term","0","8"
"A1VRG5HKZC0H0C",5,"4",NA,"recurrance","3","8"
"A1VRG5HKZC0H0C",5,"5",NA,"recurrance","3","8"
"A1W7I6FN183I8F",5,"1",NA,"recurrance","6","3"
"A1W7I6FN183I8F",5,"2",NA,"recurrance","4","1"
"A1W7I6FN183I8F",5,"3","three_month","short-term","0","1"
"A1W7I6FN183I8F",5,"4",NA,"recurrance","5","2"
"A1W7I6FN183I8F",5,"5",NA,"recurrance","3","2"
"A1W850QN9RK019",5,"1",NA,"long-term","10","6"
"A1W850QN9RK019",5,"2","two_month","short-term","4","3"
"A1W850QN9RK019",5,"3",NA,"long-term","5","5"
"A1W850QN9RK019",5,"4","two_month","short-term","4","6"
"A1W850QN9RK019",5,"5",NA,"recurrance","8","6"
"A1WJYF201K77BI",5,"1",NA,"recurrance","2","8"
"A1WJYF201K77BI",5,"2",NA,"recurrance","8","1"
"A1WJYF201K77BI",5,"3",NA,"recurrance","1","1"
"A1WJYF201K77BI",5,"4",NA,"recurrance","3","2"
"A1WJYF201K77BI",5,"5",NA,"recurrance","5","5"
"A1WQACYPLESVGL",5,"1","next_month","short-term","6","2"
"A1WQACYPLESVGL",5,"2","in_weeks","short-term","1","2"
"A1WQACYPLESVGL",5,"3",NA,"recurrance","3","1"
"A1WQACYPLESVGL",5,"4",NA,"recurrance","1","2"
"A1WQACYPLESVGL",5,"5","three_month","short-term","3","2"
"A1WS9UHL45VZ0X",3,"1","three_month","short-term","0","1"
"A1WS9UHL45VZ0X",3,"2",NA,"recurrance","7","5"
"A1WS9UHL45VZ0X",3,"3",NA,"recurrance","4","2"
"A1WZY0K6IE3ASG",5,"1",NA,"recurrance","6","8"
"A1WZY0K6IE3ASG",5,"2",NA,"recurrance","0","2"
"A1WZY0K6IE3ASG",5,"3",NA,"recurrance","8","6"
"A1WZY0K6IE3ASG",5,"4",NA,"recurrance","0","8"
"A1WZY0K6IE3ASG",5,"5",NA,"recurrance","10","7"
"A1X388C6SDCDEY",4,"1",NA,"recurrance","3","2"
"A1X388C6SDCDEY",4,"2",NA,"recurrance","2","1"
"A1X388C6SDCDEY",4,"3",NA,"recurrance","5","2"
"A1X388C6SDCDEY",4,"4",NA,"recurrance","2","1"
"A1XRWOK00HK1J4",4,"1",NA,"recurrance","4","2"
"A1XRWOK00HK1J4",4,"2",NA,"recurrance","8","6"
"A1XRWOK00HK1J4",4,"3",NA,"recurrance","8","6"
"A1XRWOK00HK1J4",4,"4",NA,"recurrance","0","8"
"A1XUZFDVKP95VC",2,"1",NA,"long-term","3","3"
"A1XUZFDVKP95VC",2,"2","in_weeks","short-term","7","5"
"A1YPOIURXB6ESR",4,"1","three_month","short-term","1","2"
"A1YPOIURXB6ESR",4,"2",NA,"recurrance","1","2"
"A1YPOIURXB6ESR",4,"3","three_month","short-term","2","2"
"A1YPOIURXB6ESR",4,"4","three_month","short-term","2","2"
"A1Z2ZGPJRGG0G3",3,"1",NA,"recurrance","5","6"
"A1Z2ZGPJRGG0G3",3,"2",NA,"recurrance","5","5"
"A1Z2ZGPJRGG0G3",3,"3","in_weeks","short-term","0","5"
"A1ZT0TLZZTT47M",5,"1",NA,"recurrance","8","5"
"A1ZT0TLZZTT47M",5,"2",NA,"recurrance","4","5"
"A1ZT0TLZZTT47M",5,"3","three_month","short-term","5","6"
"A1ZT0TLZZTT47M",5,"4",NA,"recurrance",NA,"2"
"A1ZT0TLZZTT47M",5,"5",NA,"recurrance",NA,"5"
"A1ZT30BGR3266K",2,"1",NA,"recurrance","7","5"
"A1ZT30BGR3266K",2,"2",NA,"recurrance","7","5"
"A207IHY6GERCFO",3,"1",NA,"recurrance","8","6"
"A207IHY6GERCFO",3,"2","three_month","short-term","1","2"
"A207IHY6GERCFO",3,"3",NA,"recurrance","2","3"
"A2196WCNDZULFS",3,"1",NA,"long-term","2","5"
"A2196WCNDZULFS",3,"2",NA,"long-term","0","1"
"A2196WCNDZULFS",3,"3",NA,"long-term","6","5"
"A21BXRUD15TQL8",3,"1",NA,"long-term","0","2"
"A21BXRUD15TQL8",3,"2","three_month","short-term","2","8"
"A21BXRUD15TQL8",3,"3",NA,"recurrance","5","3"
"A21ZYTE6WOKUA",4,"1",NA,"long-term","8","7"
"A21ZYTE6WOKUA",4,"2",NA,"long-term","4","5"
"A21ZYTE6WOKUA",4,"3",NA,"long-term","5","8"
"A21ZYTE6WOKUA",4,"4","three_month","short-term","9","7"
"A225BMTMXUR5F4",5,"1","two_month","short-term","8","6"
"A225BMTMXUR5F4",5,"2",NA,"recurrance","0","8"
"A225BMTMXUR5F4",5,"3",NA,"long-term","1","1"
"A225BMTMXUR5F4",5,"4",NA,"recurrance","5","5"
"A225BMTMXUR5F4",5,"5",NA,"recurrance","5","6"
"A22DDO8NILSX6O",4,"1",NA,"recurrance","1","8"
"A22DDO8NILSX6O",4,"2",NA,"recurrance","3","2"
"A22DDO8NILSX6O",4,"3",NA,"recurrance","1","8"
"A22DDO8NILSX6O",4,"4",NA,"recurrance","2","2"
"A22SZHZTF72TRM",4,"1","three_month","short-term","3","5"
"A22SZHZTF72TRM",4,"2","two_month","short-term","7","8"
"A22SZHZTF72TRM",4,"3",NA,"recurrance","4","3"
"A22SZHZTF72TRM",4,"4",NA,"recurrance","4","3"
"A248PLZABUKB62",5,"1","three_month","short-term","1","6"
"A248PLZABUKB62",5,"2","three_month","short-term","1","6"
"A248PLZABUKB62",5,"3","three_month","short-term","1","6"
"A248PLZABUKB62",5,"4","three_month","short-term","0","7"
"A248PLZABUKB62",5,"5","three_month","short-term","1","7"
"A255RBA8P0K0XV",5,"1",NA,"recurrance","4","6"
"A255RBA8P0K0XV",5,"2",NA,"long-term","6","6"
"A255RBA8P0K0XV",5,"3",NA,"recurrance","6","5"
"A255RBA8P0K0XV",5,"4",NA,"recurrance","6","5"
"A255RBA8P0K0XV",5,"5",NA,"long-term","8","6"
"A2615YW1YERQBO",3,"1",NA,"long-term","3","5"
"A2615YW1YERQBO",3,"2",NA,"long-term","1","3"
"A2615YW1YERQBO",3,"3",NA,"long-term","2","3"
"A26NGLGGFTATVN",2,"1",NA,"recurrance","9","7"
"A26NGLGGFTATVN",2,"2",NA,"recurrance","9","5"
"A26UAJWMMNN351",3,"1","in_weeks","short-term","1","7"
"A26UAJWMMNN351",3,"2",NA,"long-term","5","5"
"A26UAJWMMNN351",3,"3","three_month","short-term","5","7"
"A27INSDNTACWAM",4,"1",NA,"recurrance","3","1"
"A27INSDNTACWAM",4,"2",NA,"recurrance","0","1"
"A27INSDNTACWAM",4,"3",NA,"long-term","0","1"
